store_key,product_name,brand,size,price,observed_at,source_url,checked_by,seed_estimate_for_reference
checkers,2-Minute Noodles,Maggi,5 x 73g,,,,,27.49
checkers,Baked Beans,Koo,410g,,,,,16.49
checkers,Bananas,Loose,1kg,,,,,22.49
checkers,Brown Bread,Albany,700g,,,,,18.95
checkers,Cabbage,Loose,1 head,,,,,25.49
checkers,Cake Flour,Snowflake,2.5kg,,,,,33.95
checkers,Frozen Chicken Portions,Goldi,2kg,,,,,91.99
checkers,Full Cream Milk,Clover,2L,,,,,35.95
checkers,Instant Oats,Jungle,1kg,,,,,47.99
checkers,Large Eggs,Nulaid,18 pack,,,,,59.49
checkers,Margarine Spread,Rama,1kg,,,,,47.99
checkers,Onions,Loose,2kg,,,,,33.95
checkers,Parboiled White Rice,Tastic,2kg,,,,,43.99
checkers,Peanut Butter,Black Cat,400g,,,,,47.99
checkers,Pilchards in Tomato Sauce,Lucky Star,400g,,,,,28.49
checkers,Polony,Eskort,1kg,,,,,30.95
checkers,Potatoes,Loose,2kg,,,,,30.95
checkers,Samp,Imbo,1kg,,,,,20.49
checkers,Sugar Beans,Imbo,1kg,,,,,33.95
checkers,Sunflower Oil,Sunfoil,2L,,,,,71.95
checkers,Super Maize Meal,Ace,2.5kg,,,,,42.99
checkers,Tagless Teabags,Five Roses,100s,,,,,45.99
checkers,Tomatoes,Loose,1kg,,,,,25.49
checkers,White Bread,Albany,700g,,,,,20.49
checkers,White Sugar,Huletts,2.5kg,,,,,61.49
checkers,Bath Towel,Colibri,Large,,,,,154.49
checkers,Kettle,Russell Hobbs,1.7L,,,,,340.49
checkers,A4 Feint & Margin Book,Croxley,72 page,,,,,19.95
checkers,Ballpoint Pens,BIC,10 pack,,,,,41.95
checkers,Antibacterial Soap,Dettol,175g,,,,,18.49
checkers,Auto Washing Powder,OMO,2kg,,,,,96.49
checkers,Dishwashing Liquid,Sunlight,750ml,,,,,35.49
checkers,Petroleum Jelly,Vaseline,250ml,,,,,43.49
checkers,Roll-On Deodorant,Shield,50ml,,,,,35.49
checkers,Sanitary Pads,Always,10 pack,,,,,33.49
checkers,Shampoo,Head & Shoulders,400ml,,,,,55.95
checkers,Sunlight Soap Bar,Sunlight,175g,,,,,13.99
checkers,Toilet Paper 2-Ply,Baby Soft,9 pack,,,,,75.99
checkers,Toothpaste,Colgate,100ml,,,,,33.49
clicks,Ballpoint Pens,BIC,10 pack,,,,,43.99
clicks,Antibacterial Soap,Dettol,175g,,,,,17.95
clicks,Auto Washing Powder,OMO,2kg,,,,,94.49
