id,name,brand,category,subcategory,colour,size,unit,price,currency,store_id,store_name,store_suburb,store_lat,store_lng,distance_km,shipping_fee,total_cost,delivery_available,collection_available,in_stock,rating,icon
P001,Super Maize Meal,Ace,Groceries,Staples,n/a,2.5kg,pack,40.49,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,40.49,False,True,True,4.4,🌽
P002,Super Maize Meal,Ace,Groceries,Staples,n/a,2.5kg,pack,42.99,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,77.99,True,True,True,4.4,🌽
P003,Super Maize Meal,Ace,Groceries,Staples,n/a,2.5kg,pack,46.49,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,91.49,True,True,True,4.4,🌽
P004,Super Maize Meal,Ace,Groceries,Staples,n/a,2.5kg,pack,43.49,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,83.49,True,True,True,4.4,🌽
P005,Super Maize Meal,Ace,Groceries,Staples,n/a,2.5kg,pack,37.49,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,82.49,True,True,True,4.4,🌽
P006,Super Maize Meal,Ace,Groceries,Staples,n/a,2.5kg,pack,35.95,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,100.95,True,True,True,4.4,🌽
P007,Parboiled White Rice,Tastic,Groceries,Staples,n/a,2kg,pack,41.49,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,41.49,False,True,True,4.6,🍚
P008,Parboiled White Rice,Tastic,Groceries,Staples,n/a,2kg,pack,43.99,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,78.99,True,True,True,4.6,🍚
P009,Parboiled White Rice,Tastic,Groceries,Staples,n/a,2kg,pack,47.49,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,92.49,True,True,True,4.6,🍚
P010,Parboiled White Rice,Tastic,Groceries,Staples,n/a,2kg,pack,44.49,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,84.49,True,True,True,4.6,🍚
P011,Parboiled White Rice,Tastic,Groceries,Staples,n/a,2kg,pack,38.49,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,83.49,True,True,True,4.6,🍚
